Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],614,0,6,6.744477862095178,4.139958007726818,31.896375003270805,245.0,14.259732264154444,0.0,6,7,7,7,9,10,14,17,32,32,32
GET,/health,1902,0,3,3.3817906187744184,1.050416991347447,36.00524997455068,21.0,44.17265597137093,0.0,3,3,3,4,5,7,11,24,35,36,36
GET,/urls,1213,0,10,10.762616715738313,5.365916993469,34.54275001422502,78399.73784006595,28.171099733581986,0.0,10,11,12,12,14,17,22,27,34,35,35
POST,/urls [POST],614,0,7,8.129158580098574,4.5881659898441285,31.13004198530689,253.8273615635179,14.259732264154444,0.0,7,8,9,9,10,13,19,23,31,31,31
,Aggregated,4343,0,6,6.589830211514271,1.050416991347447,36.00524997455068,21976.768132627218,100.8632202332618,0.0,6,8,9,10,12,14,18,24,34,36,36
