Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],141168,0,58,70.79367910743709,1.5505410265177488,453.951999952551,256.1697410177944,2351.1736091730654,0.0,58,78,93,100,130,160,200,230,310,380,450
POST,/urls [POST],3169,0,70,81.75069484670884,3.0982920434325933,391.50362502550706,222.0,52.78015674564664,0.0,70,90,110,120,150,180,220,240,310,390,390
GET,/urls [list],7878,0,62,74.82933188385262,3.2670419896021485,409.70399999059737,10732.0,131.2092378801528,0.0,62,81,98,110,140,170,210,240,330,410,410
GET,/urls [warmup],50,0,240,232.79358582105488,143.81395798409358,296.94937501335517,43125.0,0.8327572853525819,0.0,240,250,250,260,280,290,300,300,300,300,300
GET,/urls/<short_code> [detail],4762,0,60,71.54393307916737,2.9209170024842024,384.1775420005433,215.74212515749684,79.31180385697989,0.0,60,79,94,100,140,160,200,230,330,380,380
,Aggregated,157027,0,59,71.29160850938335,1.5505410265177488,453.951999952551,793.4737210798143,2615.3075649411976,0.0,59,78,94,100,140,170,200,230,310,380,450
