Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],44599,0,2,2.2088724906587287,0.7661249837838113,83.53854197775945,256.1762147133344,755.2406970139725,0.0,2,2,2,2,3,4,6,21,38,78,84
POST,/urls [POST],983,0,2,2.9334484157851204,1.0857910092454404,81.35412499541417,256.0,16.646149132597927,0.0,2,2,3,3,4,5,17,27,81,81,81
GET,/urls [list],2469,0,2,2.602019485897385,1.194749987917021,39.97262500342913,13433.0,41.81011414891586,0.0,2,2,3,3,4,5,7,20,34,40,40
GET,/urls [warmup],50,0,78,81.93584571999963,63.17033397499472,97.43891700054519,53926.0,0.8467013800914511,0.0,80,90,93,93,94,95,97,97,97,97,97
GET,/urls/<short_code> [detail],1436,0,2,2.1030821259340082,0.8116669778246433,33.00850000232458,248.62047353760445,24.317263636226475,0.0,2,2,2,2,3,4,6,15,33,33,33
,Aggregated,49537,0,2,2.3202512936416673,0.7661249837838113,97.43891700054519,966.8782324323233,838.8609253118043,0.0,2,2,2,2,3,4,7,22,72,94,97
