Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],3111,0,10,25.749348505457075,3.726666996954009,237.6101250119973,245.0,52.67682513139272,0.0,10,20,31,38,70,100,130,160,230,240,240
GET,/health,9356,0,5,21.338442924230932,0.5406249838415533,253.9642080082558,21.0,158.41992154590494,0.0,5,15,25,33,65,98,130,170,220,250,250
GET,/urls,6324,0,27,42.990155984710306,8.291291014757007,285.2722500101663,577285.4740670462,107.08075928348684,0.0,27,40,52,62,98,130,160,200,250,290,290
POST,/urls [POST],3114,0,9,25.34822897573638,3.9241670165210962,225.7897910021711,254.87797045600513,52.727622455531,0.0,10,20,29,37,69,100,140,170,220,230,230
,Aggregated,21905,0,15,28.785794415765015,0.5406249838415533,285.2722500101663,166743.01296507646,370.9051284163155,0.0,15,25,36,44,79,110,150,180,240,280,290
