Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],8113,0,3,8.423434027557203,1.1210410157218575,951.2717089965008,245.0,137.34117198009722,0.0,3,4,4,5,7,12,40,120,660,950,950
GET,/health,24227,0,2,9.441346193536784,0.5460839602164924,952.4950840277597,16.0,410.1275204686078,0.0,2,2,3,3,5,14,64,260,730,940,950
GET,/urls,16254,0,3,12.154321318466911,1.1960839619860053,943.29787499737,10732.0,275.1563428281154,0.0,3,4,4,5,7,18,96,340,810,940,940
POST,/urls [POST],8118,0,3,11.298025918302034,1.136832986958325,998.7680000485852,222.01465878295147,137.4258146350831,0.0,3,4,4,5,7,19,88,250,790,1000,1000
,Aggregated,56712,0,2,10.339055713279805,0.5460839602164924,998.7680000485852,3149.519678374947,960.0508499119036,0.0,2,3,4,4,7,15,73,270,770,940,1000
