Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],169241,0,50,59.10440214538515,0.9968330268748105,484.862916986458,256.1945568745162,2818.0035461797156,0.0,50,65,76,85,110,130,160,180,270,370,480
POST,/urls [POST],3748,0,57,66.51007783512662,3.6972500383853912,292.68829204374924,222.0,62.40732027748344,0.0,57,74,86,94,120,140,170,190,280,290,290
GET,/urls [list],9369,0,55,64.51690747523361,3.4656249918043613,429.6357500134036,10732.0,156.0016498611906,0.0,55,71,83,92,110,140,170,190,270,430,430
GET,/urls [warmup],50,0,180,175.08458924479783,107.48162504751235,212.45137497317046,43125.0,0.8325416259002594,0.0,180,190,200,200,200,200,210,210,210,210,210
GET,/urls/<short_code> [detail],5667,0,50,58.970381218189964,2.613792021293193,393.0246249656193,215.59414152108698,94.3602678795354,0.0,50,65,77,85,110,130,160,180,270,390,390
,Aggregated,188075,0,50,59.54840452571774,0.9968330268748105,484.862916986458,787.5411883557092,3131.6053258238253,0.0,50,65,77,85,110,130,160,190,270,370,480
