Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/<short_code> [redirect],44704,0,2,2.3713888874624325,0.6885829789098352,146.81287499843165,256.1640121689334,757.2419818359899,0.0,2,2,2,2,3,4,14,27,57,130,150
POST,/urls [POST],1009,0,2,3.193891096278209,1.1305420193821192,65.04966702777892,256.0,17.091471896754516,0.0,2,3,3,3,4,6,12,28,56,65,65
GET,/urls [list],2436,0,2,3.0872930227754,0.9053749963641167,66.82895898120478,13433.0,41.26345445044004,0.0,2,3,3,3,4,5,23,32,56,67,67
GET,/urls [warmup],50,0,99,93.52313244075049,54.794166004285216,108.84245799388736,53926.0,0.8469510355180632,0.0,99,100,100,110,110,110,110,110,110,110,110
GET,/urls/<short_code> [detail],1484,0,2,2.5454968612898714,0.7316249830182642,64.67395898653194,248.56603773584905,25.137506734176117,0.0,2,2,2,2,3,4,20,30,56,65,65
,Aggregated,49683,0,2,2.520128106373163,0.6885829789098352,146.81287499843165,956.0175512750841,841.5813659528787,0.0,2,2,2,2,3,4,15,29,81,130,150
